"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A2","Arduino_Nano_Socket","https://docs.arduino.cc/hardware/nano","Arduino_Nano_Socket","1",""
"C1,C2","1u","~","C_Disc_D7.0mm_W2.5mm_P5.00mm","2",""
"D1","LED","~","LED_D5.0mm","1",""
"J1","Battery","~","Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical","1",""
"J4","Motor Izquierdo","~","PinHeader_1x03_P2.54mm_Vertical","1",""
"J5","Motor Derecho","~","PinHeader_1x03_P2.54mm_Vertical","1",""
"J6","puerto sensores","~","PinHeader_1x08_P2.54mm_Horizontal","1",""
"R1","1k","~","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","1",""
"R2","330","~","R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal","1",""
"SW1","SW_Push","~","SW_PUSH_6mm","1",""
"U1","LM7806_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","TO-220-3_Vertical","1",""
