"Check","Severity","Excluded","Type","Description","Details"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 65.66 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 65.72 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 65.84 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 65.96 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 66.08 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 66.2 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 66.32 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 68.2 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 70.74 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 73.28 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 75.82 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 78.36 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 80.9 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(146.34 mm, 83.44 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 66.42 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 68.96 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 71.5 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 74.04 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 76.58 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 79.12 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 81.66 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","silk_edge_clearance","Silkscreen clipped by board edge","@(50.0 mm, 50.0 mm): Rectangle on Edge.Cuts;@(152.34 mm, 84.2 mm): Segment of J6 on F.Silkscreen"
"Violations","warning","False","lib_footprint_mismatch","Footprint 'Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical' does not match copy in library 'Connector_Molex'.","@(81.28 mm, 86.36 mm): Footprint J1"
"Violations","warning","False","lib_footprint_mismatch","Footprint 'PinHeader_1x03_P2.54mm_Vertical' does not match copy in library 'Connector_PinHeader_2.54mm'.","@(86.36 mm, 68.58 mm): Footprint J4"
"Violations","warning","False","lib_footprint_issues","The current configuration does not include the footprint library 'PCM_arduino-library'.","@(92.71 mm, 71.12 mm): Footprint A2"
"Violations","warning","False","lib_footprint_mismatch","Footprint 'LED_D5.0mm' does not match copy in library 'LED_THT'.","@(121.92 mm, 86.36 mm): Footprint D1"
"Violations","warning","False","lib_footprint_mismatch","Footprint 'PinHeader_1x03_P2.54mm_Vertical' does not match copy in library 'Connector_PinHeader_2.54mm'.","@(86.36 mm, 73.66 mm): Footprint J5"
"Violations","warning","False","lib_footprint_mismatch","Footprint 'PinHeader_1x08_P2.54mm_Horizontal' does not match copy in library 'Connector_PinHeader_2.54mm'.","@(142.24 mm, 66.04 mm): Footprint J6"
