Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet,MF,MAXIMUM_PACKAGE_HEIGHT,Package,Price,Check_prices,STANDARD,PARTREV,SnapEDA_Link,MP,Purchase-URL,Description_1,Availability,MANUFACTURER,MPN,OC_FARNELL,SUPPLIER,OC_NEWARK
1,Unpolarized capacitor,C,C1,10u1,C_Disc_D3.0mm_W1.6mm_P2.50mm,1, ,~,,,,,,,,,,,,,,,,,
2,Light emitting diode,LED,D1 D2 D3 D4 D5 D6,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,6, ,~,,,,,,,,,,,,,,,,,
3,"Generic connector, single row, 01x08, script generated",Conn_01x08_Pin,J1,Conn_01x08_Pin,PinHeader_1x08_P2.54mm_Horizontal,1, ,~,,,,,,,,,,,,,,,,,
4,Resistor,R,R13 R14 R15 R16 R17 R18,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,6, ,~,,,,,,,,,,,,,,,,,
5,Resistor,R,R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,12, ,~,,,,,,,,,,,,,,,,,
6,,TCRT5000,Sensor1 Sensor2 Sensor3 Sensor4 Sensor5 Sensor6,TCRT5000,OPTO_TCRT5000,6, ,,Vishay,7.2mm,TCRT5000 Vishay,None,https://www.snapeda.com/parts/TCRT5000/Vishay+Semiconductor+Opto+Division/view-part/?ref=eda,Manufacturer recommendations,1.7,https://www.snapeda.com/parts/TCRT5000/Vishay+Semiconductor+Opto+Division/view-part/?ref=snap,TCRT5000,https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=885229&manufacturer=Vishay&part_name=TCRT5000&search_term=tcrt5000,"Sensor óptico reflectante de 0,591 (15 mm) para montaje en PCB",In Stock,Vishay,,,,
7,,74HC14DR2G,U1,74HC14DR2G,DIP-14_W7.62mm_Socket,1, ,,ON Semiconductor,,SOIC-14 SOIC-14 ON Semiconductor,None,https://www.snapeda.com/parts/74HC14DR2G/Onsemi/view-part/?ref=eda,,,https://www.snapeda.com/parts/74HC14DR2G/Onsemi/view-part/?ref=snap,74HC14DR2G,,Inverter IC 6 Channel Schmitt Trigger 14-SOIC,In Stock,,74HC14DR2G,1201316,NXP,26M7759





Project info:
Schematic:,modulo_sensor
Variant:,default
Revision:,
Date:,2025-05-09_02-29-26
KiCad Version:,9.0.1+1
Statistics:
Component Groups:,7
Component Count:,33 (24 SMD/ 9 THT)
Fitted Components:,33 (24 SMD/ 9 THT)
Number of PCBs:,1
Total Components:,33
