Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",58.6100,-69.2000,180.0000,top
"D2","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",74.6100,-69.2000,180.0000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.6100,-69.2000,180.0000,top
"D4","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",106.6100,-69.2000,180.0000,top
"D5","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",122.6100,-69.2000,180.0000,top
"D6","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.6100,-69.2000,0.0000,top
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.0000,-60.0000,0.0000,bottom
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.0000,-66.0000,0.0000,bottom
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.6100,-60.0000,0.0000,bottom
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.6100,-66.0000,0.0000,bottom
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.6100,-60.0000,0.0000,bottom
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.6100,-66.0000,0.0000,bottom
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.6100,-60.0000,0.0000,bottom
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.6100,-66.0000,0.0000,bottom
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.6100,-60.0000,0.0000,bottom
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.6100,-66.0000,0.0000,bottom
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.0000,-60.0000,180.0000,bottom
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.0000,-66.0000,180.0000,bottom
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.0000,-67.0000,90.0000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",81.0000,-67.0000,90.0000,top
"R15","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.5000,-67.0000,90.0000,top
"R16","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.5000,-67.0000,90.0000,top
"R17","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.5000,-67.0000,90.0000,top
"R18","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.5000,-67.0000,90.0000,top
