Ref,Val,Package,PosX,PosY,Rot,Side
"R1","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.0000,-60.0000,0.0000,bottom
"R2","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.0000,-66.0000,0.0000,bottom
"R3","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.6100,-60.0000,0.0000,bottom
"R4","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",80.6100,-66.0000,0.0000,bottom
"R5","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.6100,-60.0000,0.0000,bottom
"R6","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.6100,-66.0000,0.0000,bottom
"R7","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.6100,-60.0000,0.0000,bottom
"R8","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.6100,-66.0000,0.0000,bottom
"R9","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.6100,-60.0000,0.0000,bottom
"R10","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.6100,-66.0000,0.0000,bottom
"R11","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.0000,-60.0000,180.0000,bottom
"R12","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.0000,-66.0000,180.0000,bottom
"Sensor1","TCRT5000","OPTO_TCRT5000",58.6100,-62.4000,90.0000,bottom
"Sensor2","TCRT5000","OPTO_TCRT5000",74.6100,-62.4000,90.0000,bottom
"Sensor3","TCRT5000","OPTO_TCRT5000",90.6100,-62.4000,90.0000,bottom
"Sensor4","TCRT5000","OPTO_TCRT5000",106.6100,-62.4000,90.0000,bottom
"Sensor5","TCRT5000","OPTO_TCRT5000",122.6100,-62.4000,90.0000,bottom
"Sensor6","TCRT5000","OPTO_TCRT5000",138.6100,-62.4000,90.0000,bottom
