Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u1","C_Disc_D3.0mm_W1.6mm_P2.50mm",117.0000,-77.2500,-90.0000,top
"D1","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",58.6100,-69.2000,180.0000,top
"D2","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",74.6100,-69.2000,180.0000,top
"D3","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",90.6100,-69.2000,180.0000,top
"D4","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",106.6100,-69.2000,180.0000,top
"D5","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",122.6100,-69.2000,180.0000,top
"D6","LED","LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder",138.6100,-69.2000,0.0000,top
"J1","Conn_01x08_Pin","PinHeader_1x08_P2.54mm_Horizontal",107.4850,-80.5000,-90.0000,top
"R13","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.0000,-67.0000,90.0000,top
"R14","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",81.0000,-67.0000,90.0000,top
"R15","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",96.5000,-67.0000,90.0000,top
"R16","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",112.5000,-67.0000,90.0000,top
"R17","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.5000,-67.0000,90.0000,top
"R18","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",133.5000,-67.0000,90.0000,top
"U1","74HC14DR2G","DIP-14_W7.62mm_Socket",80.0000,-72.5000,-90.0000,top
